Year,Age,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Kuala Lumpur,Labuan,Cases by Age
2018,0-4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018, 5 - 9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018, 10 - 14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
2018,15-19,1,1,0,3,0,0,0,0,1,2,0,2,1,0,0,11
2018,20-24,7,5,3,14,1,3,3,0,0,4,16,13,0,4,0,73
2018,25-29,17,8,5,19,2,5,2,0,0,19,31,27,5,20,0,160
2018,30-34,25,7,12,10,1,5,8,2,5,14,30,19,9,20,0,167
2018,35-39,21,6,5,8,3,5,6,1,1,10,16,24,12,24,0,142
2018,40-44,15,7,13,18,5,9,6,1,0,3,19,16,12,18,0,142
2018,45-49,8,2,8,14,3,3,9,1,2,3,9,13,9,6,0,90
2018,50-54,10,7,1,6,6,3,3,0,0,5,10,5,0,9,0,65
2018,55-59,8,0,2,5,0,2,3,0,2,2,6,3,0,5,0,38
2018,60-64,2,0,0,3,1,1,1,0,1,1,3,0,1,2,0,16
2018,65-69,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,7
2018,70-74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
2018,>75,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
2019,0-4,2,1,1,0,0,1,0,0,0,2,4,2,0,0,0,13
2019, 5 - 9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019, 10 - 14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2019,15-19,10,3,5,5,3,3,10,1,6,10,12,19,1,6,0,94
2019,20-24,54,32,24,15,17,12,33,6,42,49,50,194,9,76,1,614
2019,25-29,96,42,26,37,31,19,40,3,53,67,82,292,15,135,4,942
2019,30-34,65,30,8,22,27,22,24,0,53,37,62,188,12,92,3,645
2019,35-39,40,30,11,14,14,15,31,1,45,16,34,153,6,56,2,468
2019,40-44,29,15,16,8,9,16,10,1,30,16,22,97,9,36,3,317
2019,45-49,13,10,3,4,7,7,7,0,17,11,5,58,7,18,1,168
2019,50-54,8,6,6,4,10,8,4,3,16,6,8,45,4,13,1,142
2019,55-59,11,6,4,4,4,5,1,1,11,5,4,22,1,9,0,88
2019,60-64,2,0,1,1,2,0,1,1,9,1,3,4,1,2,0,28
2019,65-69,4,1,1,0,1,1,2,0,3,1,1,5,0,2,0,22
2019,70-74,1,0,0,0,1,0,0,0,4,2,2,2,0,2,0,14
2019,>75,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,5
2020,0-4,0,0,0,0,0,3,0,0,0,2,2,2,0,2,0,11
2020, 5 - 9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2020, 10 - 14,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4
2020,15-19,11,8,5,6,1,3,6,3,11,5,17,24,2,13,0,115
2020,20-24,53,39,22,9,24,25,36,6,61,36,41,161,7,77,2,599
2020,25-29,57,36,11,17,26,27,35,0,70,47,64,273,11,98,4,776
2020,30-34,45,22,18,17,24,23,27,2,44,42,48,197,14,101,1,625
2020,35-39,26,18,7,11,14,20,22,0,40,21,32,117,11,49,1,389
2020,40-44,13,12,13,4,5,10,5,0,27,11,16,60,11,34,0,221
2020,45-49,6,3,8,4,12,11,15,0,15,12,7,56,4,16,0,169
2020,50-54,8,2,5,2,4,9,5,0,13,4,7,28,4,14,0,105
2020,55-59,2,4,1,0,3,4,2,0,13,2,5,21,5,8,0,70
2020,60-64,2,0,0,0,0,0,2,1,4,1,2,16,0,2,0,30
2020,65-69,0,2,0,0,0,0,1,0,2,1,2,9,0,3,0,20
2020,70-74,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,5
2020,>75,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,5
2021,0-4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,4
2021, 5 - 9,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,4
2021, 10 - 14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
2021,15-19,5,6,2,3,3,7,4,0,3,11,13,20,2,10,0,89
2021,20-24,50,30,18,18,10,28,22,3,45,38,49,183,11,52,3,560
2021,25-29,46,28,26,22,21,42,32,4,76,48,49,185,25,83,5,692
2021,30-34,25,19,10,20,19,32,29,4,39,43,52,162,16,82,4,556
2021,35-39,13,15,10,6,14,10,10,1,19,28,22,119,12,43,1,323
2021,40-44,8,4,8,8,11,7,9,1,21,9,25,61,10,20,1,203
2021,45-49,7,5,1,3,6,6,4,2,9,11,10,54,5,15,1,139
2021,50-54,9,6,2,2,4,7,3,0,10,6,4,29,2,9,0,93
2021,55-59,0,4,3,3,3,3,3,0,6,4,9,12,0,6,0,56
2021,60-64,1,1,0,1,2,1,0,0,5,1,0,5,1,3,0,21
2021,65-69,1,0,0,0,0,1,0,0,2,0,0,8,0,1,0,13
2021,70-74,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
2021,>75,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3
